Age,Gender,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate,Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Final_Grade
24,0,49,3,7,0,64,53,63,1,0,9,6,3
19,1,27,2,9,1,53,41,64,1,1,1,5,3
28,1,18,3,12,0,74,73,93,1,2,21,10,1
29,0,31,3,0,1,80,94,61,1,1,5,9,0
21,1,20,2,19,1,59,53,74,1,2,22,4,3
28,1,39,1,3,0,87,77,89,1,1,8,4,1
27,1,26,2,9,0,51,65,67,0,2,16,6,2
21,1,39,0,13,1,70,75,82,0,1,4,10,1
23,1,28,0,12,1,65,46,55,1,2,6,4,3
18,0,41,2,6,1,61,87,70,1,1,29,8,0
18,0,21,0,8,1,87,48,55,0,2,30,5,3
26,0,8,3,2,0,88,96,74,1,1,6,6,0
21,0,26,0,3,1,62,81,90,0,2,0,10,1
22,1,32,0,8,0,89,48,60,1,1,29,4,3
23,0,13,3,16,1,95,86,51,1,1,22,9,0
24,0,34,0,13,0,50,79,59,1,2,13,7,1
23,1,17,2,18,1,85,54,70,1,2,12,4,3
28,1,9,0,5,0,76,91,91,1,0,20,8,0
27,0,45,1,4,1,85,86,57,0,2,2,8,0
29,0,26,2,4,0,67,78,82,0,1,15,9,1
20,1,39,1,20,0,96,84,73,0,0,14,6,1
24,1,24,0,20,1,52,51,96,1,2,25,10,3
19,1,29,1,11,1,77,69,98,0,2,12,5,2
28,1,14,1,2,0,71,77,65,0,2,26,10,1
27,1,22,1,3,1,66,69,65,1,2,1,9,2
22,1,38,0,1,0,72,73,77,0,2,14,4,1
22,1,5,3,14,1,71,71,66,0,2,4,9,1
26,0,8,3,1,0,70,54,88,1,1,21,5,3
22,1,42,2,16,1,78,63,89,1,0,8,10,2
24,0,40,3,13,0,93,88,53,1,2,15,5,0
26,1,36,1,6,1,67,88,68,1,0,8,10,0
25,0,38,2,1,1,83,51,74,1,1,13,5,3
22,0,30,1,15,1,96,40,75,0,1,16,8,3
27,1,32,3,15,1,71,40,71,0,2,4,4,3
18,0,42,1,17,1,98,50,73,1,1,20,5,3
22,1,23,2,14,0,91,90,76,0,1,27,10,0
21,0,37,2,17,1,78,61,63,1,2,12,10,2
18,1,12,3,4,0,54,68,63,1,0,23,10,2
29,1,32,0,4,1,64,85,55,1,2,12,6,0
25,1,12,2,14,0,72,73,83,1,2,0,6,1
19,1,11,2,1,1,53,91,100,1,0,3,6,0
19,0,20,1,17,1,51,79,65,1,2,13,8,1
20,0,41,3,10,0,65,91,54,1,2,22,10,0
26,1,18,2,14,1,52,94,64,0,1,22,8,0
24,1,46,0,1,1,70,76,93,0,2,7,5,1
29,1,13,3,12,1,59,58,83,1,2,1,7,2
25,1,41,2,13,1,55,52,51,1,2,3,6,3
27,1,26,0,16,1,53,78,98,1,2,3,5,1
26,0,48,1,19,1,91,60,100,1,0,18,6,2
26,0,34,3,4,1,61,77,51,0,1,15,10,1
28,1,31,0,10,0,78,85,86,0,2,27,9,0
20,0,20,2,8,0,54,44,94,1,0,8,8,3
19,0,37,1,4,1,73,45,60,0,1,16,7,3
27,1,42,1,19,1,73,79,54,0,1,21,6,1
28,0,28,3,9,0,67,60,53,1,1,7,9,2
27,0,45,3,16,0,55,67,60,1,1,13,9,2
21,0,8,2,10,1,79,75,55,1,0,11,9,1
21,1,23,1,4,1,91,84,83,1,2,19,6,1
28,1,18,2,8,0,94,55,96,0,2,14,9,2
22,1,8,1,3,0,60,42,68,0,1,22,8,3
22,1,49,1,10,0,55,56,56,1,2,25,10,2
21,0,25,0,19,1,79,77,62,0,2,20,4,1
29,1,12,3,20,1,98,73,87,0,2,16,6,1
27,0,42,0,14,0,76,77,75,0,2,27,8,1
19,0,48,3,2,1,71,56,78,1,1,1,5,2
21,1,46,3,19,1,51,84,79,1,2,22,6,1
21,1,30,0,2,1,94,46,51,0,1,22,7,3
29,0,12,3,3,0,50,45,93,1,2,30,6,3
22,0,28,0,3,1,66,87,68,0,2,13,5,0
28,1,10,3,5,1,56,45,99,1,1,12,7,3
20,0,33,3,4,1,90,87,64,1,2,9,6,0
27,1,41,3,15,1,66,99,84,0,2,14,10,0
25,0,36,1,18,1,78,59,99,0,2,4,7,2
21,1,48,2,17,1,97,84,78,1,1,19,7,1
26,0,5,0,19,1,77,59,87,0,1,9,5,2
27,0,21,0,0,0,73,89,67,1,0,29,6,0
29,1,21,0,4,0,86,40,89,1,1,25,10,3
29,0,24,1,5,0,50,52,78,1,2,30,6,3
22,1,24,1,4,0,61,71,91,1,2,28,5,1
28,1,27,2,0,0,89,46,96,1,2,0,5,3
21,0,16,0,19,1,58,69,84,1,1,4,4,2
27,0,10,3,14,1,55,85,85,1,1,27,4,0
29,0,29,2,2,1,82,76,68,1,2,14,7,1
27,0,6,1,4,0,77,67,99,0,2,18,9,2
18,0,35,0,18,0,57,75,97,0,2,23,7,1
29,0,25,2,11,1,57,59,55,1,2,9,10,2
20,1,12,1,8,0,67,65,71,1,2,22,10,2
28,1,26,1,5,1,67,75,84,1,1,19,7,1
20,0,32,3,4,1,72,55,86,1,1,28,10,2
22,0,13,0,6,1,85,84,76,1,0,1,10,1
28,0,6,0,0,0,59,88,70,0,2,12,5,0
29,0,29,1,3,0,69,82,79,1,2,18,4,1
19,0,17,2,2,0,55,46,71,1,0,20,6,3
18,1,33,2,17,0,79,44,95,1,1,15,10,3
24,0,10,3,16,0,81,68,66,1,2,11,4,2
19,1,36,3,10,1,63,45,59,1,0,7,10,3
23,0,35,0,17,0,75,84,63,0,0,5,9,1
26,1,39,3,5,1,77,66,87,1,1,24,5,2
20,0,25,2,15,1,53,94,51,1,2,20,10,0
27,0,27,2,18,0,87,81,85,1,0,22,10,1
23,1,12,3,9,0,65,42,89,1,2,0,4,3
18,0,12,2,17,0,74,66,82,1,1,6,6,2
18,1,13,3,0,0,97,50,85,1,1,4,6,3
23,1,28,2,1,0,61,71,91,1,1,0,10,1
21,0,25,1,9,1,87,46,64,1,0,2,5,3
23,0,43,1,12,1,70,49,81,1,2,1,9,3
25,0,34,1,16,1,63,67,72,1,2,5,4,2
26,1,29,2,14,0,100,54,64,1,2,17,7,3
24,1,26,1,12,1,59,93,68,1,1,8,6,0
20,0,39,2,3,1,73,82,78,1,2,29,9,1
25,1,28,1,5,1,97,48,53,1,0,19,4,3
26,1,43,1,17,0,93,69,95,1,2,0,5,2
25,0,28,2,18,0,77,62,69,1,1,11,10,2
27,1,12,1,9,1,100,47,58,1,2,19,9,3
25,1,26,0,8,1,84,92,69,0,0,15,4,0
28,1,43,0,6,0,90,86,87,1,1,10,6,0
26,1,42,3,10,1,68,61,55,1,2,7,8,2
26,1,40,1,0,0,91,52,51,0,2,29,7,3
25,1,33,0,15,0,64,50,93,1,1,1,6,3
19,1,15,3,1,1,79,46,59,1,0,22,7,3
18,0,29,3,8,0,79,71,86,0,2,3,5,1
28,0,21,1,17,1,60,99,78,0,1,13,8,0
23,1,5,0,17,1,92,40,83,0,2,9,10,3
25,1,11,0,11,0,77,81,98,1,0,22,5,1
28,0,39,2,16,0,83,58,77,0,0,9,8,2
20,0,10,0,3,0,52,75,77,1,1,22,7,1
21,0,40,0,1,1,91,57,70,0,1,20,5,2
28,1,15,3,14,0,82,98,97,0,0,10,8,0
18,1,21,1,13,0,100,47,67,0,2,12,10,3
27,0,5,3,8,1,99,60,89,0,2,8,8,2
25,1,27,0,17,0,82,84,78,0,1,30,7,1
28,1,46,0,20,0,67,50,51,1,2,10,10,3
25,0,9,1,14,0,95,42,59,0,2,22,10,3
24,0,45,1,14,1,92,41,74,1,2,8,4,3
24,1,24,3,16,1,98,50,80,1,2,1,10,3
20,1,44,0,15,1,93,60,96,0,1,19,6,2
21,0,28,0,8,1,53,84,70,0,0,12,8,1
21,0,31,1,18,1,61,92,85,1,2,6,6,0
24,1,38,0,6,1,100,84,99,1,2,7,9,1
19,1,40,2,16,1,71,42,94,1,2,26,6,3
25,0,16,2,17,1,84,63,91,1,2,0,8,2
23,1,16,0,1,1,79,59,98,1,2,9,5,2
22,0,44,1,9,1,95,100,74,0,2,28,8,0
19,0,26,1,0,1,67,74,89,0,2,4,4,1
28,1,12,2,3,0,95,52,78,1,2,5,8,3
23,0,48,2,15,1,51,64,50,1,1,14,7,2
19,0,9,0,5,1,100,49,95,1,1,13,8,3
21,0,23,2,2,1,54,98,95,0,2,0,5,0
23,1,38,3,5,1,70,76,76,1,2,16,4,1
27,1,23,0,11,1,68,55,80,0,2,9,6,2
20,0,30,2,11,1,54,80,89,1,1,1,5,1
25,1,48,0,14,0,76,63,71,1,0,1,6,2
22,0,48,3,6,1,96,91,95,0,2,16,5,0
26,1,8,3,18,0,72,70,90,1,2,10,7,1
26,1,38,0,19,0,64,52,63,1,1,9,6,3
27,0,46,1,13,0,82,89,62,1,2,1,5,0
23,0,49,1,11,1,68,93,56,0,0,29,7,0
21,1,8,2,9,1,57,78,63,0,2,19,6,1
23,0,10,0,0,0,53,69,79,1,1,13,7,2
25,1,13,0,5,0,68,67,51,1,0,18,5,2
21,1,7,1,14,0,61,46,81,1,1,18,9,3
18,1,19,1,10,0,92,96,92,0,2,30,6,0
23,1,20,3,13,1,77,74,79,1,2,13,6,1
23,1,43,2,10,0,85,44,97,0,0,28,4,3
20,1,11,1,8,1,81,77,59,1,2,13,6,1
23,0,12,2,3,0,92,74,73,1,2,8,7,1
26,1,42,0,14,0,52,100,95,0,0,3,8,0
19,0,44,3,2,1,70,87,84,0,2,13,4,0
24,1,7,0,16,0,95,53,55,0,2,26,7,3
22,0,8,2,19,0,62,92,53,1,1,26,9,0
29,0,43,2,1,0,65,47,89,1,1,19,9,3
28,0,35,0,14,0,72,51,56,1,0,13,5,3
20,0,23,3,12,0,54,47,80,0,2,17,5,3
29,1,28,3,9,1,58,84,53,1,2,0,9,1
19,1,34,0,17,0,64,60,69,1,1,26,8,2
24,0,21,0,20,0,51,60,56,1,0,2,8,2
27,0,5,0,19,1,89,47,80,1,1,28,10,3
26,1,15,1,3,1,55,86,55,1,0,12,8,0
29,0,17,1,9,0,52,69,67,0,0,20,8,2
25,1,10,0,10,1,91,64,69,1,0,7,10,2
20,1,6,0,13,1,90,77,87,1,2,10,4,1
26,0,12,1,5,0,89,78,61,0,0,1,5,1
18,0,30,2,5,0,77,55,56,1,0,20,9,2
19,1,44,2,0,0,64,56,98,0,2,27,5,2
22,0,45,0,7,0,63,75,60,1,1,4,6,1
29,1,8,2,15,0,64,76,87,1,2,15,5,1
19,1,45,2,15,0,92,84,91,1,0,18,7,1
27,1,34,3,5,1,93,45,89,1,2,5,8,3
24,0,26,3,7,0,91,42,50,1,1,29,9,3
27,1,41,2,2,0,51,91,60,1,2,3,7,0
18,1,49,0,1,0,100,86,86,0,1,26,9,0
20,1,38,1,15,1,88,68,77,1,0,6,10,2
29,0,29,0,16,0,90,83,51,1,2,18,6,1
25,0,11,1,5,1,95,55,67,1,0,28,7,2
20,1,6,1,20,1,64,64,57,0,1,3,9,2
28,0,47,1,17,0,98,81,75,1,2,9,4,1
27,0,44,0,20,1,70,89,56,1,2,24,7,0
25,0,43,2,14,1,56,88,77,1,2,2,4,0
23,1,39,3,10,0,87,89,77,0,0,18,7,0
21,1,36,0,12,1,91,53,87,0,2,1,10,3
27,0,18,3,1,1,87,86,51,1,1,1,8,0
18,0,47,2,6,1,64,76,80,1,2,10,4,1
18,1,46,3,18,0,57,50,87,1,1,14,8,3
23,0,6,0,6,1,62,92,60,0,1,3,8,0
28,0,29,1,12,0,75,76,71,1,2,18,10,1
20,1,22,3,17,1,50,45,88,1,2,5,5,3
23,1,48,3,16,1,98,89,63,1,2,28,7,0
27,0,20,1,13,0,68,56,61,1,2,19,6,2
26,1,16,1,6,1,55,95,58,0,1,17,7,0
18,1,46,1,8,0,59,69,97,1,2,21,8,2
28,1,29,3,14,1,82,77,86,1,1,2,5,1
18,1,17,1,13,1,68,73,80,0,2,6,5,1
27,0,16,1,19,1,87,59,100,0,0,0,4,2
18,0,23,0,3,0,56,69,74,1,2,9,7,2
23,1,34,2,10,1,100,59,80,0,2,16,4,2
27,1,9,2,12,1,76,47,100,1,2,14,6,3
29,1,35,3,11,0,81,47,50,0,2,21,7,3
23,1,30,2,19,1,52,66,50,1,0,10,7,2
26,0,9,3,3,1,57,80,64,0,2,29,7,1
18,0,38,0,16,1,50,72,62,0,1,3,6,1
29,0,25,2,13,1,71,59,77,1,0,30,4,2
26,1,18,0,10,1,77,97,96,1,2,11,5,0
19,1,44,1,13,1,94,88,62,1,2,1,10,0
28,0,36,2,20,0,76,48,51,1,0,28,10,3
24,1,15,3,8,1,59,68,71,1,0,30,4,2
20,0,10,3,20,1,93,51,50,1,2,20,10,3
19,0,10,3,17,0,61,65,64,0,2,3,10,2
23,1,11,3,20,0,72,53,62,1,2,11,9,3
26,1,39,2,4,0,89,66,89,1,1,2,6,2
21,0,5,0,0,1,57,42,52,1,2,14,4,3
20,1,22,0,14,0,58,51,89,1,1,11,5,3
19,1,40,1,15,1,59,56,75,1,2,0,8,2
27,0,20,3,9,1,81,44,55,1,0,4,5,3
19,0,21,2,13,0,79,76,60,0,1,1,10,1
27,1,36,0,0,0,85,57,69,1,2,0,7,2
26,1,23,3,2,1,69,46,71,0,2,14,9,3
23,1,21,3,10,1,64,98,81,1,0,15,8,0
21,1,16,1,14,1,68,42,85,1,2,2,8,3
19,0,37,3,16,0,80,63,50,0,2,3,7,2
29,1,35,1,17,1,77,49,88,1,2,13,10,3
24,1,47,2,5,1,52,85,83,1,0,7,8,0
25,0,41,0,0,0,64,84,72,0,2,26,10,1
29,0,38,3,12,1,67,63,66,1,2,5,7,2
25,1,41,2,0,0,100,42,89,0,1,4,6,3
25,0,35,1,16,0,99,51,97,1,1,26,6,3
18,0,37,2,6,1,66,64,78,0,2,11,5,2
21,1,28,1,2,1,82,73,79,1,1,28,4,1
26,1,39,1,14,1,67,42,100,1,1,5,8,3
29,0,37,2,17,1,91,66,55,1,2,11,5,2
21,1,25,3,17,1,88,92,79,0,2,11,6,0
18,0,25,3,20,1,57,79,96,1,2,18,9,1
18,1,46,3,19,1,83,42,95,1,0,16,8,3
20,1,18,2,4,0,59,74,69,0,2,18,7,1
27,1,28,2,18,1,72,56,51,1,2,27,9,2
27,1,19,2,11,1,78,82,58,1,2,1,6,1
28,0,30,1,11,0,50,94,76,1,2,20,8,0
22,0,45,3,19,0,95,49,94,1,1,11,9,3
26,0,45,3,5,1,97,55,62,1,2,25,7,2
25,0,15,1,15,0,96,90,65,1,0,22,4,0
27,1,8,3,11,0,89,55,75,0,1,2,8,2
20,1,25,3,4,0,100,93,64,1,2,18,10,0
22,1,16,2,5,0,88,80,53,1,2,10,7,1
25,0,44,1,15,0,75,85,73,1,2,4,8,0
22,0,22,3,11,0,67,99,79,1,2,9,5,0
21,0,32,0,17,0,82,47,98,1,0,8,8,3
23,1,27,2,10,1,80,77,84,1,2,29,10,1
25,1,11,2,7,1,94,52,98,1,2,7,10,3
21,1,30,3,9,1,90,68,77,1,0,21,4,2
27,0,15,2,8,0,72,76,73,0,2,3,10,1
18,0,22,3,6,0,69,59,100,1,2,10,8,2
28,1,7,0,15,1,99,86,97,1,2,14,7,0
21,1,46,1,4,0,55,47,96,0,2,13,4,3
19,1,6,1,0,1,68,99,68,1,1,30,10,0
28,1,42,0,8,1,90,57,61,1,2,28,5,2
28,0,34,3,8,1,68,66,70,1,2,5,10,2
22,1,7,3,13,1,89,92,94,0,1,27,8,0
19,1,18,3,15,1,50,97,75,1,2,14,7,0
19,0,24,2,0,1,67,46,94,0,1,20,8,3
21,1,5,1,18,1,65,100,57,0,1,16,6,0
28,1,15,3,5,0,71,51,50,1,2,21,9,3
29,1,15,0,5,1,72,94,66,0,2,9,4,0
24,1,26,3,3,1,76,77,56,0,2,26,6,1
29,1,39,2,7,0,96,54,53,1,2,26,7,3
22,0,35,0,19,1,50,60,56,1,1,9,4,2
25,0,13,2,7,1,78,49,93,1,1,5,5,3
27,0,26,0,3,0,55,71,71,0,0,16,7,1
29,0,47,2,15,1,58,47,55,1,1,10,9,3
28,1,23,0,6,0,73,100,75,0,2,8,6,0
29,0,13,1,20,0,50,84,86,1,2,20,6,1
20,1,13,1,1,1,78,48,81,0,2,17,6,3
28,1,36,2,4,1,82,85,72,1,0,24,7,0
21,0,22,2,5,1,73,47,79,1,1,29,6,3
24,0,48,0,15,0,64,62,53,1,1,8,10,2
23,1,32,0,16,1,84,68,98,1,2,4,8,2
18,0,43,0,1,1,87,51,62,1,2,5,6,3
23,0,9,0,16,1,92,77,71,1,1,28,5,1
28,1,28,2,11,1,56,92,70,0,1,25,8,0
26,1,27,1,16,0,55,88,82,1,2,28,4,0
23,1,37,3,19,0,60,86,83,1,2,0,5,0
28,1,16,0,16,0,62,60,71,1,2,2,10,2
29,0,6,1,17,0,77,55,83,1,0,5,6,2
23,1,9,1,0,0,69,53,79,1,1,3,7,3
28,1,47,1,16,1,55,40,96,1,1,28,5,3
18,1,8,0,15,1,54,50,78,0,1,24,9,3
27,1,39,3,1,1,86,89,80,1,1,15,8,0
28,1,6,2,15,1,94,48,73,1,1,29,4,3
26,1,47,0,9,1,82,75,92,1,1,19,5,1
21,1,42,2,17,1,90,56,98,1,2,2,9,2
25,0,36,2,11,0,94,71,98,1,0,14,5,1
24,0,40,0,0,0,90,83,78,1,2,25,7,1
23,0,25,3,18,1,77,78,89,1,2,23,9,1
24,0,23,1,9,1,54,66,76,1,1,10,9,2
28,1,41,3,4,1,53,49,54,1,0,4,7,3
21,1,40,0,14,1,87,70,84,0,1,3,8,1
20,0,30,3,18,1,99,60,66,1,1,27,6,2
20,0,39,2,20,1,79,68,71,1,0,20,6,2
22,1,45,3,15,1,91,73,60,0,2,20,10,1
25,1,17,0,4,0,59,79,59,1,0,15,5,1
29,0,43,0,13,1,92,86,85,1,2,20,10,0
20,0,37,2,3,1,60,89,95,1,2,20,10,0
18,1,35,0,0,1,70,75,100,0,2,6,4,1
23,0,40,3,17,0,79,41,95,1,2,14,6,3
